,Player,#,Finish,R1,R2,R3,R4,R1.1,R2.1,R3.1,ToPar,Total Score,Money,DraftKings Salary,More Info
0,Angel CabreraPlayoff: Beat Kenny Perry with par on second extra hole (Chad Campbell was eliminated when he bogeyed the first playoff hole),,Win,68,68,69,71,6,3,1,-12,276,"$1,350,000",-,bio - career - this year - this tournament
1,Kenny PerryPlayoff: Angel Cabrera beat Kenny Perry with par on second extra hole (Campbell was eliminated when he bogeyed the first playoff hole),,T2,68,67,70,71,6,1,1,-12,276,"$660,000",-,bio - career - this year - this tournament
2,Chad CampbellPlayoff: Angel Cabrera beat Kenny Perry with par on second extra hole (Campbell was eliminated when he bogeyed the first playoff hole),,T2,65,70,72,69,1,1,3,-12,276,"$660,000",-,bio - career - this year - this tournament
3,Shingo Katayama,,4,67,73,70,68,4,6,6,-10,278,"$360,000",-,bio - career - this year - this tournament
4,Phil Mickelson,,5,73,68,71,67,51,11,10,-9,279,"$300,000",-,bio - career - this year - this tournament
5,Steve Stricker,,T6,72,69,68,71,39,11,5,-8,280,"$242,813",-,bio - career - this year - this tournament
6,Steve Flesch,,T6,71,74,68,67,28,42,19,-8,280,"$242,813",-,bio - career - this year - this tournament
7,Tiger Woods,,T6,70,72,70,68,20,19,10,-8,280,"$242,813",-,bio - career - this year - this tournament
8,John Merrick,,T6,68,74,72,66,6,19,22,-8,280,"$242,813",-,bio - career - this year - this tournament
9,Jim Furyk,,T10,66,74,68,73,2,6,4,-7,281,"$187,500",-,bio - career - this year - this tournament
10,Sean O'Hair,,T10,68,76,68,69,6,33,10,-7,281,"$187,500",-,bio - career - this year - this tournament
11,Hunter Mahan,,T10,66,75,71,69,2,11,10,-7,281,"$187,500",-,bio - career - this year - this tournament
12,Tim Clark,,T13,68,71,72,71,6,5,9,-6,282,"$150,000",-,bio - career - this year - this tournament
13,Camilo Villegas,,T13,73,69,71,69,51,19,19,-6,282,"$150,000",-,bio - career - this year - this tournament
14,Todd Hamilton,,T15,68,70,72,73,6,4,6,-5,283,"$131,250",-,bio - career - this year - this tournament
15,Geoff Ogilvy,,T15,71,70,73,69,28,11,22,-5,283,"$131,250",-,bio - career - this year - this tournament
16,Aaron Baddeley,,T17,68,74,73,69,6,19,25,-4,284,"$116,250",-,bio - career - this year - this tournament
17,Graeme McDowell,,T17,69,73,73,69,14,19,25,-4,284,"$116,250",-,bio - career - this year - this tournament
18,Nick Watney,,19,70,71,71,73,20,11,10,-3,285,"$105,000",-,bio - career - this year - this tournament
19,Sandy Lyle,,T20,72,70,73,71,39,19,25,-2,286,"$71,400",-,bio - career - this year - this tournament
20,Stephen Ames,,T20,73,68,71,74,51,11,10,-2,286,"$71,400",-,bio - career - this year - this tournament
21,Ryuji Imada,,T20,73,72,72,69,51,42,37,-2,286,"$71,400",-,bio - career - this year - this tournament
22,Trevor Immelman,,T20,71,74,72,69,28,42,37,-2,286,"$71,400",-,bio - career - this year - this tournament
23,Justin Rose,,T20,74,70,71,71,70,33,25,-2,286,"$71,400",-,bio - career - this year - this tournament
24,Rory Sabbatini,,T20,73,67,70,76,51,6,6,-2,286,"$71,400",-,bio - career - this year - this tournament
25,Ian Poulter,,T20,71,73,68,74,28,33,10,-2,286,"$71,400",-,bio - career - this year - this tournament
26,Paul Casey,,T20,72,72,73,69,39,33,37,-2,286,"$71,400",-,bio - career - this year - this tournament
27,Rory McIlroy,,T20,72,73,71,70,39,42,32,-2,286,"$71,400",-,bio - career - this year - this tournament
28,Anthony Kim,,T20,75,65,72,74,75,6,10,-2,286,"$71,400",-,bio - career - this year - this tournament
29,Larry Mize,,T30,67,76,72,72,4,28,25,-1,287,"$46,575",-,bio - career - this year - this tournament
30,Vijay Singh,,T30,71,70,72,74,28,11,19,-1,287,"$46,575",-,bio - career - this year - this tournament
31,Stuart Appleby,,T30,72,73,71,71,39,42,32,-1,287,"$46,575",-,bio - career - this year - this tournament
32,Ross Fisher,,T30,69,76,73,69,14,42,44,-1,287,"$46,575",-,bio - career - this year - this tournament
33,Dustin Johnson,,T30,72,70,72,73,39,19,22,-1,287,"$46,575",-,bio - career - this year - this tournament
34,Ken Duke,,T35,71,72,73,72,28,28,32,E,288,"$38,625",-,bio - career - this year - this tournament
35,Padraig Harrington,,T35,69,73,73,73,14,19,25,E,288,"$38,625",-,bio - career - this year - this tournament
